Modalidad de Contratacion,Fecha de Publicacion del Proceso,Referencia del Proceso,Número de Proceso,Descripción del Procedimiento,Cuantía,Unidad de Contratación,URLProceso
Contratación directa,08/01/2021,05202521,"Prestar servicios profesionales en la generación, consolidación, reporte y seguimiento de la información contractual, y demás actividades del proceso de adquisición de bienes y servicios","Prestar servicios profesionales en la generación, consolidación, reporte y seguimiento de la información contractual, y demás actividades del proceso de adquisición de bienes y servicios",70493192,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1640740&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,26/01/2021,84001721,El CONTRATISTA se obliga a prestar sus servicios profesionales para sustanciar y proyectar los actos administrativos que resuelvan los trámites que les sean asignados a través del Sistema que la entid,El CONTRATISTA se obliga a prestar sus servicios profesionales para sustanciar y proyectar los actos administrativos que resuelvan los trámites que les sean asignados a través del Sistema que la entidad disponga para ello,39618656,DIRECCION TERRITORIAL ORIENTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1694319&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,12/02/2020,40003120,Prestar servicios profesionales para apoyar desde el componente jurídico y comercial las actividades derivadas de los procesos de inspección y vigilancia de los prestadores del servicio público de ase,Prestar servicios profesionales para apoyar desde el componente jurídico y comercial las actividades derivadas de los procesos de inspección y vigilancia de los prestadores del servicio público de aseo.,50999990,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1106625&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,01/03/2019,40007719,"Prestar servicios profesionales a la Dirección Técnica de Gestión de Aseo, en todos los asuntos técnicos, financieros y administrativos derivados de los procesos de inspección, vigilancia y control, y","Prestar servicios profesionales a la Dirección Técnica de Gestión de Aseo, en todos los asuntos técnicos, financieros y administrativos derivados de los procesos de inspección, vigilancia y control, y apoyar las coordinaciones de la Dirección.",57416650,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.763057&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,20/01/2020,80006120,"Prestar sus servicios profesionales apoyando a la Dirección General Territorial en el monitoreo, proyección estadística y análisis de los resultados obtenidos dentro del plan de acercamiento a las reg","Prestar sus servicios profesionales apoyando a la Dirección General Territorial en el monitoreo, proyección estadística y análisis de los resultados obtenidos dentro del plan de acercamiento a las regiones y en la formulación y desarrollo de acciones de mejora en los procesos que para este plan se requieran",69725300,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1052114&isFromPublicArea=True&isModal=true&asPopupView=true
Selección Abreviada de Menor Cuantía,24/05/2018,SSPD-SA-05-2018,Prestar los servicios de capacitación a los funcionarios de la Superintendencia de Servicios Públicos orientado al fortalecimiento de conocimientos y de competencias.,"Prestar los servicios de capacitación a los funcionarios de la Superintendencia de Servicios Públicos orientado al fortalecimiento de conocimientos y de competencias, de acuerdo con lo establecido en el Plan Institucional de Capacitación 2018.",115011600,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.429667&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,20/01/2020,40002420,Prestar servicios de apoyo a la gestión en las actividades administrativas derivadas de los procesos de inspección y vigilancia de los prestadores del servicio público de aseo,Prestar servicios de apoyo a la gestión en las actividades administrativas derivadas de los procesos de inspección y vigilancia de los prestadores del servicio público de aseo,35233312,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1052192&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,17/01/2019,81001719,"Prestar los servicios de apoyo a la gestión de la Dirección Territorial Centro en la atención y orientación de manera personalizada a usuarios,   así como,  trámitar las PQR y demás asignaciones reali","Prestar los servicios de apoyo a la gestión de la Dirección Territorial Centro en la atención y orientación de manera personalizada a usuarios,   así como,  trámitar las PQR y demás asignaciones realizadas  a traves del sistema de gestión documental  vrg.ORFEO; y apoyar el proceso de notificación cuando se requiera.",18720000,DIRECCCION TERRITORIAL CENTRO,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.667375&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,17/08/2018,82009818,"Prestar servicios profesionales que brinden soporte jurídico para estudiar sustanciar y proyectar con calidad y oportunidad legal los actos administrativos que resuelvan trámites, que les sean asignad","Prestar servicios profesionales que brinden soporte jurídico para estudiar sustanciar y proyectar con calidad y oportunidad legal los actos administrativos que resuelvan trámites, que les sean asignados a través del Sistema que la entidad disponga para ello.",12792000,DIRECCION TERRITORIAL NORTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.507282&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,28/01/2019,13001219,"prestar de manera independiente y con sus propios recursos, sus servicios profesionales jurídicos para la gestión de las actividades de cobro que corresponda, en cumplimiento de la facultad legal","prestar de manera independiente y con sus propios recursos, sus servicios profesionales jurídicos para la gestión de las actividades de cobro que corresponda, en cumplimiento de la facultad legal otorgada a la SSPD, con el fin de recaudar las acreencias a favor de la entidad, particularmente en cuanto a proyectar y ajustar los actos administrativos que se originan durante el trámite del procedimiento administrativo de cobro coactivo y de gestión de cartera que garanticen el impulso procesal(...)",36850000,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.693697&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,03/03/2020,82010720,DTN 111 DE 2020,"Apoyar la implementación de los procesos de empoderamiento ciudadano en el territorio en relación a la fiscalización de los servicios públicos domiciliarios, mediante la orientación personalizada a los usuarios.",28270000,DIRECCION TERRITORIAL NORTE,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.1144826&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,01/03/2019,040007119,"Prestar sus servicios de apoyo a gestión a la Dirección Técnica de Gestión para Acueducto y Alcantarillado, en el análisis, revisión y preparación de la información y trámites que recibe","Prestar sus servicios de apoyo a gestión a la Dirección Técnica de Gestión para Acueducto y Alcantarillado, en el análisis, revisión y preparación de la información y trámites que recibe y gestiona el área.",17533298,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.763187&isFromPublicArea=True&isModal=true&asPopupView=true
Contratación directa,24/01/2019,017000219,Prestar servicios profesionales y apoyo legal en el análisis y sustanciación de los procesos disciplinarios que adelanta la Oficina de Control Disciplinario Interno,Prestar servicios profesionales y apoyo legal en el análisis y sustanciación de los procesos disciplinarios que adelanta la Oficina de Control Disciplinario Interno,66879980,DIRECCION ADMINISTRATIVA,https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.684152&isFromPublicArea=True&isModal=true&asPopupView=true
